# strongSwan IPsec 握手完成时间测试结果
# 测试时间: Fri 18 Jul 05:02:25 +00 2025
# 连接名称: net-net
# 列格式: test_num,hct_ms,connection_status,error_message,timestamp,network_conditions,interface,local_ip,remote_ip
test_num,hct_ms,connection_status,error_message,timestamp,network_conditions,interface,local_ip,remote_ip
1,150.609864000,SUCCESS,,2025-07-18 05:02:28,ideal,ens33,192.168.31.114,192.168.31.135
2,70.047818000,SUCCESS,,2025-07-18 05:02:33,ideal,ens33,192.168.31.114,192.168.31.135
3,69.308725000,SUCCESS,,2025-07-18 05:02:38,ideal,ens33,192.168.31.114,192.168.31.135
4,63.299700000,SUCCESS,,2025-07-18 05:02:43,ideal,ens33,192.168.31.114,192.168.31.135
5,64.315543000,SUCCESS,,2025-07-18 05:02:49,ideal,ens33,192.168.31.114,192.168.31.135
6,59.102884000,SUCCESS,,2025-07-18 05:02:54,ideal,ens33,192.168.31.114,192.168.31.135
7,63.773514000,SUCCESS,,2025-07-18 05:02:59,ideal,ens33,192.168.31.114,192.168.31.135
8,63.228882000,SUCCESS,,2025-07-18 05:03:05,ideal,ens33,192.168.31.114,192.168.31.135
9,63.514293000,SUCCESS,,2025-07-18 05:03:10,ideal,ens33,192.168.31.114,192.168.31.135
10,66.268834000,SUCCESS,,2025-07-18 05:03:15,ideal,ens33,192.168.31.114,192.168.31.135
11,65.502256000,SUCCESS,,2025-07-18 05:03:20,ideal,ens33,192.168.31.114,192.168.31.135
12,70.627447000,SUCCESS,,2025-07-18 05:03:26,ideal,ens33,192.168.31.114,192.168.31.135
13,67.445125000,SUCCESS,,2025-07-18 05:03:31,ideal,ens33,192.168.31.114,192.168.31.135
14,64.679896000,SUCCESS,,2025-07-18 05:03:36,ideal,ens33,192.168.31.114,192.168.31.135
15,57.803154000,SUCCESS,,2025-07-18 05:03:41,ideal,ens33,192.168.31.114,192.168.31.135
16,66.175266000,SUCCESS,,2025-07-18 05:03:46,ideal,ens33,192.168.31.114,192.168.31.135
17,76.111688000,SUCCESS,,2025-07-18 05:03:52,ideal,ens33,192.168.31.114,192.168.31.135
18,66.123218000,SUCCESS,,2025-07-18 05:03:57,ideal,ens33,192.168.31.114,192.168.31.135
19,64.944077000,SUCCESS,,2025-07-18 05:04:02,ideal,ens33,192.168.31.114,192.168.31.135
20,65.152137000,SUCCESS,,2025-07-18 05:04:07,ideal,ens33,192.168.31.114,192.168.31.135
21,67.487825000,SUCCESS,,2025-07-18 05:04:12,ideal,ens33,192.168.31.114,192.168.31.135
22,58.960372000,SUCCESS,,2025-07-18 05:04:17,ideal,ens33,192.168.31.114,192.168.31.135
23,68.353295000,SUCCESS,,2025-07-18 05:04:23,ideal,ens33,192.168.31.114,192.168.31.135
24,75.682428000,SUCCESS,,2025-07-18 05:04:28,ideal,ens33,192.168.31.114,192.168.31.135
25,58.990294000,SUCCESS,,2025-07-18 05:04:33,ideal,ens33,192.168.31.114,192.168.31.135
26,66.103085000,SUCCESS,,2025-07-18 05:04:38,ideal,ens33,192.168.31.114,192.168.31.135
27,66.722974000,SUCCESS,,2025-07-18 05:04:44,ideal,ens33,192.168.31.114,192.168.31.135
28,59.750267000,SUCCESS,,2025-07-18 05:04:49,ideal,ens33,192.168.31.114,192.168.31.135
29,61.339500000,SUCCESS,,2025-07-18 05:04:54,ideal,ens33,192.168.31.114,192.168.31.135
30,66.305606000,SUCCESS,,2025-07-18 05:05:00,ideal,ens33,192.168.31.114,192.168.31.135
31,61.510424000,SUCCESS,,2025-07-18 05:05:05,ideal,ens33,192.168.31.114,192.168.31.135
32,81.618677000,SUCCESS,,2025-07-18 05:05:10,ideal,ens33,192.168.31.114,192.168.31.135
33,65.336178000,SUCCESS,,2025-07-18 05:05:15,ideal,ens33,192.168.31.114,192.168.31.135
34,66.052593000,SUCCESS,,2025-07-18 05:05:20,ideal,ens33,192.168.31.114,192.168.31.135
35,66.481817000,SUCCESS,,2025-07-18 05:05:25,ideal,ens33,192.168.31.114,192.168.31.135
36,62.027171000,SUCCESS,,2025-07-18 05:05:31,ideal,ens33,192.168.31.114,192.168.31.135
37,66.258125000,SUCCESS,,2025-07-18 05:05:36,ideal,ens33,192.168.31.114,192.168.31.135
38,60.883199000,SUCCESS,,2025-07-18 05:05:41,ideal,ens33,192.168.31.114,192.168.31.135
39,87.649544000,SUCCESS,,2025-07-18 05:05:46,ideal,ens33,192.168.31.114,192.168.31.135
40,60.650868000,SUCCESS,,2025-07-18 05:05:51,ideal,ens33,192.168.31.114,192.168.31.135
