# strongSwan IPsec 握手完成时间测试结果
# 测试时间: Fri 18 Jul 06:01:14 +00 2025
# 连接名称: net-net
# 列格式: test_num,hct_ms,connection_status,error_message,timestamp,network_conditions,interface,local_ip,remote_ip
test_num,hct_ms,connection_status,error_message,timestamp,network_conditions,interface,local_ip,remote_ip
1,96.264864000,SUCCESS,,2025-07-18 06:01:17,ideal,ens33,192.168.31.114,192.168.31.135
2,75.263010000,SUCCESS,,2025-07-18 06:01:23,ideal,ens33,192.168.31.114,192.168.31.135
3,70.650134000,SUCCESS,,2025-07-18 06:01:28,ideal,ens33,192.168.31.114,192.168.31.135
4,65.030198000,SUCCESS,,2025-07-18 06:01:33,ideal,ens33,192.168.31.114,192.168.31.135
5,68.804959000,SUCCESS,,2025-07-18 06:01:38,ideal,ens33,192.168.31.114,192.168.31.135
6,67.283730000,SUCCESS,,2025-07-18 06:01:43,ideal,ens33,192.168.31.114,192.168.31.135
7,66.182423000,SUCCESS,,2025-07-18 06:01:49,ideal,ens33,192.168.31.114,192.168.31.135
8,72.534694000,SUCCESS,,2025-07-18 06:01:54,ideal,ens33,192.168.31.114,192.168.31.135
9,85.384867000,SUCCESS,,2025-07-18 06:01:59,ideal,ens33,192.168.31.114,192.168.31.135
10,73.099649000,SUCCESS,,2025-07-18 06:02:04,ideal,ens33,192.168.31.114,192.168.31.135
11,73.870372000,SUCCESS,,2025-07-18 06:02:09,ideal,ens33,192.168.31.114,192.168.31.135
12,77.624561000,SUCCESS,,2025-07-18 06:02:15,ideal,ens33,192.168.31.114,192.168.31.135
13,69.048500000,SUCCESS,,2025-07-18 06:02:20,ideal,ens33,192.168.31.114,192.168.31.135
14,74.214397000,SUCCESS,,2025-07-18 06:02:25,ideal,ens33,192.168.31.114,192.168.31.135
15,70.923639000,SUCCESS,,2025-07-18 06:02:30,ideal,ens33,192.168.31.114,192.168.31.135
16,73.532267000,SUCCESS,,2025-07-18 06:02:35,ideal,ens33,192.168.31.114,192.168.31.135
17,67.345149000,SUCCESS,,2025-07-18 06:02:40,ideal,ens33,192.168.31.114,192.168.31.135
18,64.993460000,SUCCESS,,2025-07-18 06:02:46,ideal,ens33,192.168.31.114,192.168.31.135
19,67.080361000,SUCCESS,,2025-07-18 06:02:51,ideal,ens33,192.168.31.114,192.168.31.135
20,73.155193000,SUCCESS,,2025-07-18 06:02:57,ideal,ens33,192.168.31.114,192.168.31.135
21,68.354036000,SUCCESS,,2025-07-18 06:03:02,ideal,ens33,192.168.31.114,192.168.31.135
22,62.766908000,SUCCESS,,2025-07-18 06:03:07,ideal,ens33,192.168.31.114,192.168.31.135
23,75.234148000,SUCCESS,,2025-07-18 06:03:12,ideal,ens33,192.168.31.114,192.168.31.135
