# strongSwan IPsec 握手完成时间测试结果
# 测试时间: Fri 18 Jul 04:44:00 +00 2025
# 连接名称: net-net
# 列格式: test_num,hct_ms,connection_status,error_message,timestamp,network_conditions,interface,local_ip,remote_ip
test_num,hct_ms,connection_status,error_message,timestamp,network_conditions,interface,local_ip,remote_ip
1,101.715136000,SUCCESS,,2025-07-18 04:44:03,ideal,ens33,192.168.31.114,192.168.31.135
2,75.707561000,SUCCESS,,2025-07-18 04:44:08,ideal,ens33,192.168.31.114,192.168.31.135
3,75.145637000,SUCCESS,,2025-07-18 04:44:13,ideal,ens33,192.168.31.114,192.168.31.135
4,83.259695000,SUCCESS,,2025-07-18 04:44:19,ideal,ens33,192.168.31.114,192.168.31.135
5,72.050259000,SUCCESS,,2025-07-18 04:44:24,ideal,ens33,192.168.31.114,192.168.31.135
6,85.896920000,SUCCESS,,2025-07-18 04:44:29,ideal,ens33,192.168.31.114,192.168.31.135
7,87.208056000,SUCCESS,,2025-07-18 04:44:34,ideal,ens33,192.168.31.114,192.168.31.135
8,78.895392000,SUCCESS,,2025-07-18 04:44:39,ideal,ens33,192.168.31.114,192.168.31.135
9,70.244453000,SUCCESS,,2025-07-18 04:44:45,ideal,ens33,192.168.31.114,192.168.31.135
10,76.421276000,SUCCESS,,2025-07-18 04:44:50,ideal,ens33,192.168.31.114,192.168.31.135
11,80.252024000,SUCCESS,,2025-07-18 04:44:55,ideal,ens33,192.168.31.114,192.168.31.135
12,77.153816000,SUCCESS,,2025-07-18 04:45:00,ideal,ens33,192.168.31.114,192.168.31.135
13,82.064025000,SUCCESS,,2025-07-18 04:45:05,ideal,ens33,192.168.31.114,192.168.31.135
14,88.989685000,SUCCESS,,2025-07-18 04:45:11,ideal,ens33,192.168.31.114,192.168.31.135
15,74.573743000,SUCCESS,,2025-07-18 04:45:16,ideal,ens33,192.168.31.114,192.168.31.135
16,75.205022000,SUCCESS,,2025-07-18 04:45:21,ideal,ens33,192.168.31.114,192.168.31.135
17,79.891836000,SUCCESS,,2025-07-18 04:45:26,ideal,ens33,192.168.31.114,192.168.31.135
18,75.132348000,SUCCESS,,2025-07-18 04:45:31,ideal,ens33,192.168.31.114,192.168.31.135
19,73.955811000,SUCCESS,,2025-07-18 04:45:37,ideal,ens33,192.168.31.114,192.168.31.135
20,72.699883000,SUCCESS,,2025-07-18 04:45:42,ideal,ens33,192.168.31.114,192.168.31.135
21,70.744662000,SUCCESS,,2025-07-18 04:45:47,ideal,ens33,192.168.31.114,192.168.31.135
22,73.448706000,SUCCESS,,2025-07-18 04:45:52,ideal,ens33,192.168.31.114,192.168.31.135
