# strongSwan IPsec 握手完成时间测试结果
# 测试时间: Fri 18 Jul 04:36:08 +00 2025
# 连接名称: net-net
# 列格式: test_num,hct_ms,connection_status,error_message,timestamp,network_conditions,interface,local_ip,remote_ip
test_num,hct_ms,connection_status,error_message,timestamp,network_conditions,interface,local_ip,remote_ip
1,74.196782000,SUCCESS,,2025-07-18 04:36:11,ideal,ens33,192.168.31.114,192.168.31.135
2,70.567196000,SUCCESS,,2025-07-18 04:36:17,ideal,ens33,192.168.31.114,192.168.31.135
3,59.118589000,SUCCESS,,2025-07-18 04:36:22,ideal,ens33,192.168.31.114,192.168.31.135
4,62.596577000,SUCCESS,,2025-07-18 04:36:27,ideal,ens33,192.168.31.114,192.168.31.135
5,67.154776000,SUCCESS,,2025-07-18 04:36:32,ideal,ens33,192.168.31.114,192.168.31.135
6,56.399284000,SUCCESS,,2025-07-18 04:36:37,ideal,ens33,192.168.31.114,192.168.31.135
7,58.954447000,SUCCESS,,2025-07-18 04:36:42,ideal,ens33,192.168.31.114,192.168.31.135
8,53.468014000,SUCCESS,,2025-07-18 04:36:48,ideal,ens33,192.168.31.114,192.168.31.135
9,57.610346000,SUCCESS,,2025-07-18 04:36:53,ideal,ens33,192.168.31.114,192.168.31.135
10,62.519898000,SUCCESS,,2025-07-18 04:36:58,ideal,ens33,192.168.31.114,192.168.31.135
11,56.917778000,SUCCESS,,2025-07-18 04:37:03,ideal,ens33,192.168.31.114,192.168.31.135
12,56.196780000,SUCCESS,,2025-07-18 04:37:08,ideal,ens33,192.168.31.114,192.168.31.135
13,65.645315000,SUCCESS,,2025-07-18 04:37:14,ideal,ens33,192.168.31.114,192.168.31.135
14,65.269993000,SUCCESS,,2025-07-18 04:37:19,ideal,ens33,192.168.31.114,192.168.31.135
15,57.530622000,SUCCESS,,2025-07-18 04:37:24,ideal,ens33,192.168.31.114,192.168.31.135
16,63.884405000,SUCCESS,,2025-07-18 04:37:29,ideal,ens33,192.168.31.114,192.168.31.135
17,58.526030000,SUCCESS,,2025-07-18 04:37:34,ideal,ens33,192.168.31.114,192.168.31.135
18,55.661465000,SUCCESS,,2025-07-18 04:37:39,ideal,ens33,192.168.31.114,192.168.31.135
