# strongSwan IPsec 握手完成时间测试结果
# 测试时间: Fri 18 Jul 06:09:02 +00 2025
# 连接名称: net-net
# 列格式: test_num,hct_ms,connection_status,error_message,timestamp,network_conditions,interface,local_ip,remote_ip
test_num,hct_ms,connection_status,error_message,timestamp,network_conditions,interface,local_ip,remote_ip
1,169.457048000,SUCCESS,,2025-07-18 06:09:06,ideal,ens33,192.168.31.114,192.168.31.135
2,97.352489000,SUCCESS,,2025-07-18 06:09:11,ideal,ens33,192.168.31.114,192.168.31.135
3,78.398755000,SUCCESS,,2025-07-18 06:09:16,ideal,ens33,192.168.31.114,192.168.31.135
4,66.726094000,SUCCESS,,2025-07-18 06:09:21,ideal,ens33,192.168.31.114,192.168.31.135
5,64.958636000,SUCCESS,,2025-07-18 06:09:27,ideal,ens33,192.168.31.114,192.168.31.135
6,64.628650000,SUCCESS,,2025-07-18 06:09:32,ideal,ens33,192.168.31.114,192.168.31.135
7,64.253610000,SUCCESS,,2025-07-18 06:09:37,ideal,ens33,192.168.31.114,192.168.31.135
8,73.092415000,SUCCESS,,2025-07-18 06:09:42,ideal,ens33,192.168.31.114,192.168.31.135
9,65.400526000,SUCCESS,,2025-07-18 06:09:47,ideal,ens33,192.168.31.114,192.168.31.135
10,57.065906000,SUCCESS,,2025-07-18 06:09:53,ideal,ens33,192.168.31.114,192.168.31.135
11,61.949473000,SUCCESS,,2025-07-18 06:09:58,ideal,ens33,192.168.31.114,192.168.31.135
12,62.511690000,SUCCESS,,2025-07-18 06:10:03,ideal,ens33,192.168.31.114,192.168.31.135
13,62.853123000,SUCCESS,,2025-07-18 06:10:09,ideal,ens33,192.168.31.114,192.168.31.135
14,57.897194000,SUCCESS,,2025-07-18 06:10:14,ideal,ens33,192.168.31.114,192.168.31.135
15,63.768053000,SUCCESS,,2025-07-18 06:10:19,ideal,ens33,192.168.31.114,192.168.31.135
16,62.944203000,SUCCESS,,2025-07-18 06:10:24,ideal,ens33,192.168.31.114,192.168.31.135
17,61.730553000,SUCCESS,,2025-07-18 06:10:29,ideal,ens33,192.168.31.114,192.168.31.135
18,59.442552000,SUCCESS,,2025-07-18 06:10:34,ideal,ens33,192.168.31.114,192.168.31.135
19,55.018965000,SUCCESS,,2025-07-18 06:10:40,ideal,ens33,192.168.31.114,192.168.31.135
20,54.934545000,SUCCESS,,2025-07-18 06:10:45,ideal,ens33,192.168.31.114,192.168.31.135
21,57.409124000,SUCCESS,,2025-07-18 06:10:50,ideal,ens33,192.168.31.114,192.168.31.135
22,58.671512000,SUCCESS,,2025-07-18 06:10:55,ideal,ens33,192.168.31.114,192.168.31.135
23,55.630852000,SUCCESS,,2025-07-18 06:11:00,ideal,ens33,192.168.31.114,192.168.31.135
24,57.492878000,SUCCESS,,2025-07-18 06:11:05,ideal,ens33,192.168.31.114,192.168.31.135
25,56.912868000,SUCCESS,,2025-07-18 06:11:11,ideal,ens33,192.168.31.114,192.168.31.135
26,59.633829000,SUCCESS,,2025-07-18 06:11:16,ideal,ens33,192.168.31.114,192.168.31.135
27,59.003267000,SUCCESS,,2025-07-18 06:11:21,ideal,ens33,192.168.31.114,192.168.31.135
28,55.116592000,SUCCESS,,2025-07-18 06:11:26,ideal,ens33,192.168.31.114,192.168.31.135
29,57.043859000,SUCCESS,,2025-07-18 06:11:31,ideal,ens33,192.168.31.114,192.168.31.135
30,54.832410000,SUCCESS,,2025-07-18 06:11:37,ideal,ens33,192.168.31.114,192.168.31.135
31,57.470106000,SUCCESS,,2025-07-18 06:11:42,ideal,ens33,192.168.31.114,192.168.31.135
32,57.106032000,SUCCESS,,2025-07-18 06:11:47,ideal,ens33,192.168.31.114,192.168.31.135
33,64.267419000,SUCCESS,,2025-07-18 06:11:52,ideal,ens33,192.168.31.114,192.168.31.135
34,58.658939000,SUCCESS,,2025-07-18 06:11:57,ideal,ens33,192.168.31.114,192.168.31.135
35,56.881254000,SUCCESS,,2025-07-18 06:12:02,ideal,ens33,192.168.31.114,192.168.31.135
36,56.018890000,SUCCESS,,2025-07-18 06:12:08,ideal,ens33,192.168.31.114,192.168.31.135
37,54.810935000,SUCCESS,,2025-07-18 06:12:13,ideal,ens33,192.168.31.114,192.168.31.135
38,58.056802000,SUCCESS,,2025-07-18 06:12:18,ideal,ens33,192.168.31.114,192.168.31.135
39,56.844714000,SUCCESS,,2025-07-18 06:12:24,ideal,ens33,192.168.31.114,192.168.31.135
40,64.302292000,SUCCESS,,2025-07-18 06:12:29,ideal,ens33,192.168.31.114,192.168.31.135
41,59.854897000,SUCCESS,,2025-07-18 06:12:34,ideal,ens33,192.168.31.114,192.168.31.135
42,60.964059000,SUCCESS,,2025-07-18 06:12:39,ideal,ens33,192.168.31.114,192.168.31.135
43,57.327924000,SUCCESS,,2025-07-18 06:12:44,ideal,ens33,192.168.31.114,192.168.31.135
