# strongSwan IPsec 握手完成时间测试结果
# 测试时间: Fri 18 Jul 04:10:37 +00 2025
# 连接名称: net-net
# 列格式: test_num,hct_ms,connection_status,error_message,timestamp,network_conditions,interface,local_ip,remote_ip
test_num,hct_ms,connection_status,error_message,timestamp,network_conditions,interface,local_ip,remote_ip
1,68.929564000,SUCCESS,,2025-07-18 04:10:40,ideal,ens33,192.168.31.114,192.168.31.135
2,48.016739000,SUCCESS,,2025-07-18 04:10:45,ideal,ens33,192.168.31.114,192.168.31.135
3,49.611714000,SUCCESS,,2025-07-18 04:10:50,ideal,ens33,192.168.31.114,192.168.31.135
4,54.172578000,SUCCESS,,2025-07-18 04:10:55,ideal,ens33,192.168.31.114,192.168.31.135
5,50.813901000,SUCCESS,,2025-07-18 04:11:01,ideal,ens33,192.168.31.114,192.168.31.135
6,50.740091000,SUCCESS,,2025-07-18 04:11:06,ideal,ens33,192.168.31.114,192.168.31.135
7,50.676120000,SUCCESS,,2025-07-18 04:11:11,ideal,ens33,192.168.31.114,192.168.31.135
8,48.321066000,SUCCESS,,2025-07-18 04:11:16,ideal,ens33,192.168.31.114,192.168.31.135
9,55.055195000,SUCCESS,,2025-07-18 04:11:21,ideal,ens33,192.168.31.114,192.168.31.135
10,46.082833000,SUCCESS,,2025-07-18 04:11:27,ideal,ens33,192.168.31.114,192.168.31.135
11,45.726747000,SUCCESS,,2025-07-18 04:11:32,ideal,ens33,192.168.31.114,192.168.31.135
12,46.929635000,SUCCESS,,2025-07-18 04:11:37,ideal,ens33,192.168.31.114,192.168.31.135
13,50.979505000,SUCCESS,,2025-07-18 04:11:42,ideal,ens33,192.168.31.114,192.168.31.135
14,47.689056000,SUCCESS,,2025-07-18 04:11:47,ideal,ens33,192.168.31.114,192.168.31.135
15,47.886040000,SUCCESS,,2025-07-18 04:11:52,ideal,ens33,192.168.31.114,192.168.31.135
16,50.998617000,SUCCESS,,2025-07-18 04:11:58,ideal,ens33,192.168.31.114,192.168.31.135
17,45.104240000,SUCCESS,,2025-07-18 04:12:03,ideal,ens33,192.168.31.114,192.168.31.135
18,46.093475000,SUCCESS,,2025-07-18 04:12:08,ideal,ens33,192.168.31.114,192.168.31.135
19,49.694361000,SUCCESS,,2025-07-18 04:12:13,ideal,ens33,192.168.31.114,192.168.31.135
20,47.201384000,SUCCESS,,2025-07-18 04:12:18,ideal,ens33,192.168.31.114,192.168.31.135
21,47.841499000,SUCCESS,,2025-07-18 04:12:23,ideal,ens33,192.168.31.114,192.168.31.135
22,61.801822000,SUCCESS,,2025-07-18 04:12:29,ideal,ens33,192.168.31.114,192.168.31.135
23,46.139279000,SUCCESS,,2025-07-18 04:12:34,ideal,ens33,192.168.31.114,192.168.31.135
24,56.347801000,SUCCESS,,2025-07-18 04:12:39,ideal,ens33,192.168.31.114,192.168.31.135
25,45.912319000,SUCCESS,,2025-07-18 04:12:44,ideal,ens33,192.168.31.114,192.168.31.135
26,53.446033000,SUCCESS,,2025-07-18 04:12:49,ideal,ens33,192.168.31.114,192.168.31.135
27,48.076944000,SUCCESS,,2025-07-18 04:12:55,ideal,ens33,192.168.31.114,192.168.31.135
28,47.950768000,SUCCESS,,2025-07-18 04:13:00,ideal,ens33,192.168.31.114,192.168.31.135
29,50.196987000,SUCCESS,,2025-07-18 04:13:05,ideal,ens33,192.168.31.114,192.168.31.135
30,60.564901000,SUCCESS,,2025-07-18 04:13:10,ideal,ens33,192.168.31.114,192.168.31.135
31,52.510390000,SUCCESS,,2025-07-18 04:13:15,ideal,ens33,192.168.31.114,192.168.31.135
32,56.422743000,SUCCESS,,2025-07-18 04:13:20,ideal,ens33,192.168.31.114,192.168.31.135
33,56.932156000,SUCCESS,,2025-07-18 04:13:26,ideal,ens33,192.168.31.114,192.168.31.135
34,47.666122000,SUCCESS,,2025-07-18 04:13:31,ideal,ens33,192.168.31.114,192.168.31.135
35,54.393353000,SUCCESS,,2025-07-18 04:13:36,ideal,ens33,192.168.31.114,192.168.31.135
36,47.707046000,SUCCESS,,2025-07-18 04:13:41,ideal,ens33,192.168.31.114,192.168.31.135
37,62.600770000,SUCCESS,,2025-07-18 04:13:46,ideal,ens33,192.168.31.114,192.168.31.135
38,48.284106000,SUCCESS,,2025-07-18 04:13:52,ideal,ens33,192.168.31.114,192.168.31.135
39,51.797922000,SUCCESS,,2025-07-18 04:13:57,ideal,ens33,192.168.31.114,192.168.31.135
40,49.254534000,SUCCESS,,2025-07-18 04:14:03,ideal,ens33,192.168.31.114,192.168.31.135
41,58.270607000,SUCCESS,,2025-07-18 04:14:08,ideal,ens33,192.168.31.114,192.168.31.135
42,48.040127000,SUCCESS,,2025-07-18 04:14:13,ideal,ens33,192.168.31.114,192.168.31.135
43,58.982686000,SUCCESS,,2025-07-18 04:14:18,ideal,ens33,192.168.31.114,192.168.31.135
44,51.389583000,SUCCESS,,2025-07-18 04:14:23,ideal,ens33,192.168.31.114,192.168.31.135
45,48.386500000,SUCCESS,,2025-07-18 04:14:29,ideal,ens33,192.168.31.114,192.168.31.135
46,46.319606000,SUCCESS,,2025-07-18 04:14:34,ideal,ens33,192.168.31.114,192.168.31.135
47,48.286526000,SUCCESS,,2025-07-18 04:14:39,ideal,ens33,192.168.31.114,192.168.31.135
48,57.266596000,SUCCESS,,2025-07-18 04:14:44,ideal,ens33,192.168.31.114,192.168.31.135
49,50.361636000,SUCCESS,,2025-07-18 04:14:49,ideal,ens33,192.168.31.114,192.168.31.135
50,62.038628000,SUCCESS,,2025-07-18 04:14:54,ideal,ens33,192.168.31.114,192.168.31.135
