# 握手完成时间箱形图数据
# 用于生成图5: HCT vs 突发丢包率的箱形图
# 丢包率(%),HCT(s)
0,.059
0,.037
0,.066
0,.122
0,.058
0,.469
0,.094
0,.052
0,.113
0,.044
0,.089
0,.138
0,.048
0,.095
0,.033
0,.046
0,.048
0,.088
0,.090
0,.055
0,.037
0,.035
0,.120
0,.107
0,.035
0,.092
0,.045
0,.032
0,.090
0,.036
0,.088
0,.048
0,.063
0,.107
0,.046
0,.117
0,.050
0,.105
0,.044
0,.111
0,.062
0,.090
0,.047
0,.046
0,.078
0,.028
0,.040
0,.046
0,.051
0,.075
5,.076
5,.048
5,.064
5,.028
5,.049
5,.045
5,.057
5,.075
5,.046
5,.030
5,.071
5,.027
5,.095
5,.041
5,.038
5,.041
5,.081
5,.056
5,.064
5,.040
5,.076
5,.039
5,.038
5,.066
5,.032
5,.091
5,.061
5,.048
5,.037
5,.067
5,.085
5,.030
5,.042
5,.056
5,.029
5,.069
5,.036
5,.030
5,.085
5,.037
5,.062
5,.028
5,.036
5,.078
5,.032
5,.042
5,.081
5,.073
5,.041
5,.027
10,.039
10,.386
10,.072
10,.046
10,.027
10,.065
10,.030
10,.025
10,.074
10,.060
10,.057
10,.035
10,.032
10,.066
10,.054
10,.044
10,.066
10,.024
10,.033
10,.023
10,.063
10,.068
10,.041
10,.072
10,.037
10,.042
10,.085
10,.030
10,.040
10,.031
10,.030
10,.076
10,.023
10,.041
10,.027
10,.041
10,.034
10,.054
10,.032
10,.087
10,.025
10,.035
10,.051
10,.029
10,.027
10,.038
10,.093
10,.055
10,.034
10,.049
15,.078
15,.026
15,.029
15,.040
15,.062
15,.036
15,.026
15,.062
15,.036
15,.044
15,.023
15,.070
15,.028
15,.081
15,.030
15,.034
15,.052
15,.039
15,.037
15,.057
15,.084
15,.028
15,.058
15,.026
15,.080
15,.030
15,.037
15,.023
15,.048
15,.111
15,.043
15,.036
15,.040
15,.103
15,.024
15,.055
15,.056
15,.035
15,.045
15,.044
15,.035
15,.089
15,.031
15,.036
15,.063
15,.030
15,.036
15,.041
15,.053
15,.035
