突发持续时间(ms),测试序号,结果,HCT(ms),重传次数
50,1,success,106,00
50,2,success,120,00
50,3,success,119,00
50,4,success,76,00
50,5,success,80,00
50,6,success,157,00
50,7,success,119,00
50,8,success,215,00
50,9,success,101,00
50,10,success,159,00
50,11,success,67,00
50,12,success,49,00
50,13,success,79,00
50,14,success,92,00
50,15,success,118,00
50,16,success,92,00
50,17,success,112,00
50,18,success,65,00
50,19,success,124,00
50,20,success,79,00
50,21,success,95,00
50,22,success,99,00
50,23,success,158,00
50,24,success,184,00
50,25,success,183,00
50,26,success,53,00
50,27,success,73,00
50,28,success,79,00
50,29,success,249,00
50,30,success,4257,1
50,31,success,91,00
50,32,success,179,00
50,33,success,124,00
50,34,success,60,00
50,35,success,110,00
50,36,success,99,00
50,37,success,407,00
50,38,success,92,00
50,39,success,4061,1
50,40,success,111,00
50,41,success,8206,2
50,42,success,229,00
50,43,success,160,00
50,44,success,167,00
50,45,success,107,00
50,46,success,95,00
50,47,success,129,00
50,48,success,98,00
50,49,success,108,00
50,50,success,147,00
