test_num,status,hct_ms,retransmissions
1,SUCCESS,47.532,0
2,SUCCESS,26.719,0
3,SUCCESS,28.713,0
4,SUCCESS,26.045,0
5,SUCCESS,35.998,0
6,SUCCESS,37.929,0
7,SUCCESS,39.094,0
8,SUCCESS,35.885,0
9,SUCCESS,35.044,0
10,SUCCESS,45.903,0
11,SUCCESS,41.311,0
12,SUCCESS,44.188,0
13,SUCCESS,35.125,0
14,SUCCESS,46.467,0
15,SUCCESS,22.412,0
16,SUCCESS,21.400,0
17,SUCCESS,37.416,0
18,SUCCESS,28.461,0
19,SUCCESS,34.872,0
20,SUCCESS,35.281,0
21,SUCCESS,34.872,0
22,SUCCESS,23.735,0
23,SUCCESS,28.910,0
24,SUCCESS,43.004,0
25,SUCCESS,33.341,0
26,SUCCESS,19.158,0
27,SUCCESS,27.797,0
28,SUCCESS,16.313,0
29,SUCCESS,23.420,0
30,SUCCESS,29.575,0
31,SUCCESS,15.783,0
32,SUCCESS,19.513,0
33,SUCCESS,31.401,0
34,SUCCESS,17.457,0
35,SUCCESS,20.958,0
36,SUCCESS,31.625,0
37,SUCCESS,31.098,0
38,SUCCESS,30.310,0
39,SUCCESS,38.076,0
40,SUCCESS,38.362,0
41,SUCCESS,33.625,0
42,SUCCESS,16.764,0
43,SUCCESS,32.272,0
44,SUCCESS,33.753,0
45,SUCCESS,29.016,0
46,SUCCESS,21.818,0
47,SUCCESS,37.919,0
48,SUCCESS,22.784,0
49,SUCCESS,30.906,0
50,SUCCESS,26.452,0
